,Job Title,URL,Company,Location,Salary,Summary,title,weblink,company,location,salary
0,Programmernew,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D51L9vkgMOY3rY9xrJWUE6yFC46ziqc2w1G6XVOPUKBRbqvyuH2RE0kwCG6M-ll5LhySJF8lo1W6VS4SQ0gB3QFILRYk_s57U8ibD4elKIf8YxTKKkoGkljCvt3yz5bQf0vjnZ0Yn6t682b3hgDhCnhHj5heFeQib5WUvxQ7SRm7nvzN7sQVp2YLkopFLvejYGNjB4n7vNTyApMa1_Ifv1tb1fmNDlFdOr97LOg7ONYdSMZR6IuwSW-GDoXxjarVev0cyjQqAW6TxI5Amm-qvj257iBuYRX1plf492mKg7eevPcYMJiUGukwtlXZIvcnsjGQ1V-QNVpxO-xBPS47iEtegiP0KP4Mw3IixWJtm4jLcqChYcUwq_aOCrWIG2yoFVJPnrWbc8fP6sgp-WYKTX-V9JjHwzdvhmVfJVdgEVJ4ugl8DGeKymmnv-ohOI7iSEAQMakuDGup51i8nKtLu2P2ey-ThhtC29HLj9Qrz9vw==&xkcb=SoDA-_M3VEf4hmxJlB0LbzkdCdPP&p=0&fvj=1&vjs=3,Vita Healthcare Group,"Lakewood, NJ 08701",Full-time,['Health insurancePaid time off'],Software Developer - Python,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DRfXgnCNOeOJA9-9ohrCveYZpir8Ow4LyTLNPAPiatnS84H2pU_BXqczps3EL1eVyVgGME6DWhp1mGE2ObzarfR7yqM7BgQDZBvwDpd_8X-OtAnO0AcCWcZvlreYQ5gPQz7T9ROUOdclpwt2hDWylteJ_am6UeeOwEnZ5CwYuMPfK1NRRli7KsdMyEoze2Mn07btr1hge25K6kW_WQBPNYQYXLVFnRIsgtQtrC6dYQZ_YKkxwxrX1dtFb7kBBFFOxz7lnJ5LvArqjccfEGqEZzyeGHITFS6AYP_AFIZFXDYmbYWaZyEciTmBlg1O-Bz5m0wU2AMKKB5_Cg4Si6hzR-h_N_xSQ3VR_-U80bCJFknRuZJJ_g-HR-4hMx3DY9EOUWDLbVod0FghAVZ8igsjV5jhL6uAleMMCw48TknH6GiXFyLKbnLs7nKXw1EnC8vjKNlaFgEwW4dPmY9C69-XCdjfM2TG4qOxpMwdhaU_OPn1sv5CfwbKxDFQu5X0uWZD02klA2kh8hCzg0Z3ia0XEp6AteCGmPWFIeRu2t8LDYAjESrHmQqKhMf6mHlG2YVc_2MF-jLJ_m-RBgoO0NNYZDOCf7AmqfY_yVOt8EmuWRssTixFBeGLk_jOd5sBOk55IqSIh1IoFeC8OdplN7TARH&xkcb=SoB0-_M3VEf4hmxJlB0KbzkdCdPP&p=1&fvj=0&vjs=3,Trinity Solar Careers,"Hybrid remote in Wall, NJ 07719","$60,000 - $200,000 a year"
1,Software Developer - Python,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DRfXgnCNOeOJA9-9ohrCveYZpir8Ow4LyTLNPAPiatnS84H2pU_BXqczps3EL1eVyVgGME6DWhp1mGE2ObzarfR7yqM7BgQDZBvwDpd_8X-OtAnO0AcCWcZvlreYQ5gPQz7T9ROUOdclpwt2hDWylteJ_am6UeeOwEnZ5CwYuMPfK1NRRli7KsdMyEoze2Mn07btr1hge25K6kW_WQBPNYQYXLVFnRIsgtQtrC6dYQZ_YKkxwxrX1dtFb7kBBFFOxz7lnJ5LvArqjccfEGqEZzyeGHITFS6AYP_AFIZFXDYmbYWaZyEciTmBlg1O-Bz5m0wU2AMKKB5_Cg4Si6hzR-h_N_xSQ3VR_-U80bCJFknRuZJJ_g-HR-4hMx3DY9EOUWDLbVod0FghAVZ8igsjV5jhL6uAleMMCw48TknH6GiXFyLKbnLs7nKXw1EnC8vjKNlaFgEwW4dPmY9C69-XCdjfM2TG4qOxpMwdhaU_OPn1sv5CfwbKxDFQu5X0uWZD02klA2kh8hCzg0Z3ia0XEp6AteCGmPWFIeRu2t8LDYAjESrHmQqKhMf6mHlG2YVc_2MF-jLJ_m-RBgoO0NNYZDOCf7AmqfY_yVOt8EmuWRssTixFBeGLk_jOd5sBOk55IqSIh1IoFeC8OdplN7TARH&xkcb=SoB0-_M3VEf4hmxJlB0KbzkdCdPP&p=1&fvj=0&vjs=3,Trinity Solar Careers,"Hybrid remote in Wall, NJ 07719","$60,000 - $200,000 a year",['Health insurancePaid time offDental insuranceVision insurance401(k)+ 2 more'],Entry Level Python Developernew,https://www.indeed.com/company/Brillfy-Technology/jobs/Entry-Level-Python-Developer-9f46c4ccdff0cb75?fccid=43e32b363233771a&vjs=3,Brillfy Technology,"Jersey City, NJ","$65,000 - $90,000 a year"
2,Entry Level Python Developernew,https://www.indeed.com/company/Brillfy-Technology/jobs/Entry-Level-Python-Developer-9f46c4ccdff0cb75?fccid=43e32b363233771a&vjs=3,Brillfy Technology,"Jersey City, NJ","$65,000 - $90,000 a year","['Location: Must be open for Relocation across all US*.\nPython Developer responsibilities include writing and testing code, debugging programs and integrating…']",Python Developernew,https://www.indeed.com/rc/clk?jk=0629b58467ceeba9&fccid=f111faa54f532973&vjs=3,Go8IT,"Princeton, NJ",Full-time
3,Python Developernew,https://www.indeed.com/rc/clk?jk=0629b58467ceeba9&fccid=f111faa54f532973&vjs=3,Go8IT,"Princeton, NJ",Full-time,"['Expertise in at least one popular Python framework (like Django, Flask or Pyramid).\nKnowledge of object-relational mapping (ORM).']",Python Developer,https://www.indeed.com/rc/clk?jk=04f3b96307df68a9&fccid=7dd5835ec7819d6b&vjs=3,Zettalogix,"Iselin, NJ 08830",
4,Python Developer,https://www.indeed.com/rc/clk?jk=04f3b96307df68a9&fccid=7dd5835ec7819d6b&vjs=3,Zettalogix,"Iselin, NJ 08830",Full-time,"['Designs, codes and tests all sizes of application solutions using object-oriented development, with a current focus on Python.']",CCOR Data Analystnew,https://www.indeed.com/rc/clk?jk=9bf276152d02acd0&fccid=aaf3b433897ea465&vjs=3,"JPMorgan Chase Bank, N.A.","Jersey City, NJ","$85,500 - $115,000 a year"
5,CCOR Data Analystnew,https://www.indeed.com/rc/clk?jk=9bf276152d02acd0&fccid=aaf3b433897ea465&vjs=3,"JPMorgan Chase Bank, N.A.","Jersey City, NJ","$85,500 - $115,000 a year",['Health insurance'],Senior DevOps Engineer,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BldYzZX3Rc-W91WsmH5NHExfqmo1VnWi5oaah42hwmwNL_wpkNzZYB0lWofYLDk-pzK5MR3m01q4w_yKpPXrceFc_u_jSMCKb1-GXm1w-sv03vA5-8sKCowXy4blQPQz9BAnMTzFGhSU4dfbEcawygQmf2bn8sU8U-CAN8uN1fjY3IQdxaJiptfFNaP3rCAxGM61z3S_n2F1_4tSu-4zQYFopgwYyTL73oBFGeo1VF68ivj0RTYM1Cg8wrOsBp02PZujCSUBzHGO8oLB3nuGOkqGkU-NWaB1ARL8ar-Kfw0AZ06RuiQq39VQulLim0h-nHKqDoI05t-o_6IqQhYA48gV2ZdTZSiTA2MLG-tAbZj4o-tIqgYLaSOsGo7lAUoYVrc0uER_CFJU7gDAIR6AXGkr35p7wXW8eCV-1QcwWuuJ34wTd4hTGpTx94skziHJ1mKc9IYA4HEoxyuUnbDFvGS3qRlHaWY2JU1TRjm-aArf5sO-gnC3dO&xkcb=SoBf-_M3VEf4hhRJlB0JbzkdCdPP&p=6&fvj=1&vjs=3,Combined Computer Resources,"Newark, NJ",$70 - $80 an hour
6,Senior DevOps Engineer,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BldYzZX3Rc-W91WsmH5NHExfqmo1VnWi5oaah42hwmwNL_wpkNzZYB0lWofYLDk-pzK5MR3m01q4w_yKpPXrceFc_u_jSMCKb1-GXm1w-sv03vA5-8sKCowXy4blQPQz9BAnMTzFGhSU4dfbEcawygQmf2bn8sU8U-CAN8uN1fjY3IQdxaJiptfFNaP3rCAxGM61z3S_n2F1_4tSu-4zQYFopgwYyTL73oBFGeo1VF68ivj0RTYM1Cg8wrOsBp02PZujCSUBzHGO8oLB3nuGOkqGkU-NWaB1ARL8ar-Kfw0AZ06RuiQq39VQulLim0h-nHKqDoI05t-o_6IqQhYA48gV2ZdTZSiTA2MLG-tAbZj4o-tIqgYLaSOsGo7lAUoYVrc0uER_CFJU7gDAIR6AXGkr35p7wXW8eCV-1QcwWuuJ34wTd4hTGpTx94skziHJ1mKc9IYA4HEoxyuUnbDFvGS3qRlHaWY2JU1TRjm-aArf5sO-gnC3dO&xkcb=SoBf-_M3VEf4hhRJlB0JbzkdCdPP&p=6&fvj=1&vjs=3,Combined Computer Resources,"Newark, NJ",$70 - $80 an hour,"['Skills needed-AWS, Ansible, Terraform, CI/CD and a huge plus would be Harness (a CI/CD tool) python coding.\nJob Types: Full-time, Part-time, Contract.']",Senior Conversational AI Designer,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AvyrLnisIlbn5fzqc1UTI-lTdi2AscQmJMLkg732bk3p5qKVCRiw1J0156FVfmdQWTdxfibog9vT1YvUxaxuMWaEzDU3FLoBasY1-5ZQUKmxTNppjz-56qumgFrAiRnpvVCGz9ZY9ZMUVoJF1QRqVFenkQFTQmK51fSM_qAh3kYL-n2wV9DzaC6DapGAsSixdE4i5kfNMOxlbmotYXaXEM8MMFFBaLh2YbrggEsKY9j0Zx3naA1g85C87NoW6BLclYbxB2djVKA5eouNFVCCM65TjEDccToumseI95IvOg11SpFGKg4OS7Cebg8Bc1xSaEsD14XaYmtgsLjXwzlH0TXItVNOhajHGw_CalPJD4RzZqX2sGKcW9KTYpEmBzC_59HqXvHpkQRsaVHl1ej2yRijDwekMnJRiJ9PAKhE0DRORnTKwQVAHlQ6Qy-RK0YIkvpWLQSLuesykGZCFdDMciCkb4OKHCbRZ4WAqu-OhlhA==&xkcb=SoDr-_M3VEf4hhRJlB0IbzkdCdPP&p=7&fvj=0&vjs=3,HelloFresh,"Newark, NJ 07102 (Central Business District area)",
7,Senior Conversational AI Designer,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AvyrLnisIlbn5fzqc1UTI-lTdi2AscQmJMLkg732bk3p5qKVCRiw1J0156FVfmdQWTdxfibog9vT1YvUxaxuMWaEzDU3FLoBasY1-5ZQUKmxTNppjz-56qumgFrAiRnpvVCGz9ZY9ZMUVoJF1QRqVFenkQFTQmK51fSM_qAh3kYL-n2wV9DzaC6DapGAsSixdE4i5kfNMOxlbmotYXaXEM8MMFFBaLh2YbrggEsKY9j0Zx3naA1g85C87NoW6BLclYbxB2djVKA5eouNFVCCM65TjEDccToumseI95IvOg11SpFGKg4OS7Cebg8Bc1xSaEsD14XaYmtgsLjXwzlH0TXItVNOhajHGw_CalPJD4RzZqX2sGKcW9KTYpEmBzC_59HqXvHpkQRsaVHl1ej2yRijDwekMnJRiJ9PAKhE0DRORnTKwQVAHlQ6Qy-RK0YIkvpWLQSLuesykGZCFdDMciCkb4OKHCbRZ4WAqu-OhlhA==&xkcb=SoDr-_M3VEf4hhRJlB0IbzkdCdPP&p=7&fvj=0&vjs=3,HelloFresh,"Newark, NJ 07102 (Central Business District area)",$70 - $80 an hour,['Health insurancePaid time off401(k)401(k) matching'],Python Developer,https://www.indeed.com/company/Princeton-IT-Services/jobs/Python-Developer-305cfd6765e7aeba?fccid=4141e421aceda42e&vjs=3,Princeton IT Services,"Jersey City, NJ 07302 (The Waterfront area)",Full-time
8,Python Developer,https://www.indeed.com/company/Princeton-IT-Services/jobs/Python-Developer-305cfd6765e7aeba?fccid=4141e421aceda42e&vjs=3,Princeton IT Services,"Jersey City, NJ 07302 (The Waterfront area)",Full-time,"['This will be an on-site position based in Jersey City, NJ.\n5-6 Years’ experience in Python Programming.\n4 years experience in Server-side/backend development…']",Data Scientist co op (Spring/Summer 2023),https://www.indeed.com/rc/clk?jk=fe1e29ef697e00fa&fccid=0bed8e17bc113980&vjs=3,Johnson & Johnson,"Remote in Raritan, NJ",$29 an hour
9,Data Scientist co op (Spring/Summer 2023),https://www.indeed.com/rc/clk?jk=fe1e29ef697e00fa&fccid=0bed8e17bc113980&vjs=3,Johnson & Johnson,"Remote in Raritan, NJ",$29 an hour,"['The role sits within the Quality Analytics Organization in BioResearch Quality & Compliance (BRQC), a unit of Janssen R&D responsible for quality in clinical…']",Entry-level Software Developer,https://www.indeed.com/company/BeaconFire-Solution/jobs/Entry-Level-Software-Developer-c8597dc1d039b8de?fccid=3e26fb21d7543639&vjs=3,BeaconFire Solution,"Princeton, NJ","$65,000 - $80,000 a year"
